ax,ay,az,gx,gy,gz,d1,d2,d3,d4,target
3427,-1924,15855,669,756,-1437,456.0,434.0,596.0,618.0,0
3475,-1936,15947,649,548,-1391,456.0,442.0,596.0,611.0,0
3623,-1852,15851,747,293,-1302,451.0,421.0,603.0,611.0,0
3751,-1644,15911,702,-65,-1079,451.0,438.0,596.0,603.0,0
3879,-1368,15771,618,-162,-873,456.0,430.0,596.0,618.0,0
3871,-1496,15527,655,-303,-675,456.0,438.0,603.0,611.0,0
3991,-1264,15663,594,-295,-395,451.0,442.0,596.0,611.0,0
3811,-1416,15551,708,-174,-122,461.0,421.0,596.0,611.0,0
3787,-1280,15483,651,-22,130,447.0,405.0,603.0,611.0,0
3483,-1220,15547,676,185,347,456.0,425.0,603.0,611.0,0
3279,-1364,15671,592,202,444,456.0,434.0,596.0,611.0,0
3203,-1584,15771,588,144,468,456.0,425.0,596.0,611.0,0
2987,-1760,15487,927,-187,111,451.0,430.0,596.0,618.0,0
3123,-1580,15423,1035,-286,-76,461.0,430.0,596.0,611.0,0
3119,-1432,15355,1020,-299,-246,425.0,447.0,611.0,611.0,0
3287,-1236,15691,1079,-277,-231,461.0,447.0,581.0,611.0,0
3359,-1156,15555,1121,-230,-178,456.0,417.0,603.0,611.0,0
3395,-1004,15367,1241,-242,-200,456.0,447.0,603.0,626.0,0
3635,-816,15631,1181,-244,-108,456.0,442.0,596.0,611.0,0
3503,-688,15791,1099,-246,73,456.0,421.0,596.0,611.0,0
3515,-568,16067,1044,-323,211,461.0,442.0,596.0,611.0,0
3503,-316,16167,758,-392,334,456.0,413.0,596.0,611.0,0
3247,-404,16491,244,-555,504,456.0,413.0,596.0,611.0,0
2975,-664,16627,57,-791,569,456.0,442.0,596.0,611.0,0
2771,-796,16463,-152,-816,520,461.0,438.0,596.0,611.0,0
2739,-956,16035,-192,-1069,273,451.0,461.0,603.0,611.0,0
2971,-1024,15903,-238,-1163,56,456.0,421.0,596.0,611.0,0
3151,-916,15531,-220,-889,-114,465.0,434.0,596.0,611.0,0
3015,-792,15431,-191,-629,-242,456.0,434.0,596.0,618.0,0
2999,-828,15203,-66,-372,-293,451.0,461.0,603.0,611.0,0
3059,-960,15143,-29,-227,-201,456.0,421.0,596.0,611.0,0
3135,-976,15259,-29,-335,-96,461.0,442.0,588.0,611.0,0
2931,-992,15595,33,-616,60,456.0,438.0,596.0,611.0,0
2575,-956,15731,286,-876,123,456.0,438.0,596.0,618.0,0
2367,-932,16131,498,-1176,87,451.0,442.0,603.0,618.0,0
2335,-1056,15891,455,-1307,-141,456.0,425.0,596.0,611.0,0
2703,-1464,15739,258,-1167,-448,456.0,409.0,611.0,611.0,0
3611,-2556,15247,118,-269,-601,456.0,430.0,588.0,611.0,0
3943,-2464,15203,240,233,-772,451.0,442.0,596.0,618.0,0
4359,-2444,15111,228,783,-918,451.0,409.0,603.0,611.0,0
4795,-2336,15291,364,1169,-1141,461.0,413.0,588.0,618.0,0
4631,-1776,15339,754,1484,-1292,451.0,434.0,596.0,611.0,0
4375,-996,15579,960,1199,-887,512.0,425.0,596.0,626.0,0
4159,-428,15819,898,590,-298,456.0,434.0,603.0,611.0,0
4211,-120,15787,523,44,5,451.0,425.0,581.0,618.0,0
3979,-720,15483,225,-315,285,451.0,409.0,603.0,618.0,0
3799,-1100,15555,221,-673,670,456.0,430.0,596.0,611.0,0
3759,-1456,15523,287,-906,784,461.0,447.0,596.0,611.0,0
3839,-1800,15319,378,-1134,724,456.0,430.0,596.0,611.0,0
3671,-1892,15271,450,-1083,410,456.0,409.0,596.0,603.0,0
